alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Top_Itr,Bot_Itr
0.000,0.0000,0.02088,0.00838,-0.0000,1.0000,1.0000,1.0000,160.0000
0.100,-0.0056,0.02089,0.00839,0.0020,1.0000,1.0000,1.0000,160.0000
0.200,-0.0110,0.02091,0.00841,0.0040,1.0000,1.0000,1.0000,160.0000
0.300,-0.0159,0.02096,0.00844,0.0058,1.0000,1.0000,1.0000,160.0000
0.400,-0.0202,0.02102,0.00849,0.0076,1.0000,1.0000,1.0000,160.0000
0.500,-0.0237,0.02110,0.00856,0.0093,1.0000,1.0000,1.0000,160.0000
0.600,-0.0265,0.02120,0.00864,0.0108,1.0000,1.0000,1.0000,160.0000
0.700,-0.0284,0.02132,0.00873,0.0122,1.0000,1.0000,1.0000,160.0000
0.800,-0.0297,0.02146,0.00884,0.0134,1.0000,1.0000,1.0000,160.0000
0.900,-0.0304,0.02161,0.00897,0.0145,1.0000,1.0000,1.0000,160.0000
1.000,-0.0303,0.02179,0.00912,0.0155,1.0000,1.0000,1.0000,160.0000
1.100,-0.0296,0.02198,0.00929,0.0164,1.0000,1.0000,1.0000,160.0000
1.200,-0.0283,0.02220,0.00948,0.0172,1.0000,1.0000,1.0000,160.0000
1.300,-0.0264,0.02243,0.00969,0.0178,1.0000,1.0000,1.0000,160.0000
1.400,-0.0014,0.02286,0.01012,0.0143,0.9930,1.0000,1.8316,160.0000
1.500,0.0322,0.02331,0.01060,0.0093,0.9826,1.0000,2.7923,160.0000
1.600,0.0644,0.02370,0.01101,0.0047,0.9717,1.0000,3.6576,160.0000
1.700,0.0960,0.02404,0.01137,0.0003,0.9604,1.0000,4.4608,160.0000
1.800,0.1297,0.02433,0.01170,-0.0043,0.9494,1.0000,5.2046,160.0000
1.900,0.1655,0.02454,0.01196,-0.0092,0.9381,1.0000,5.9305,160.0000
2.000,0.1943,0.02469,0.01215,-0.0127,0.9252,1.0000,6.7306,160.0000
2.100,0.2263,0.02478,0.01230,-0.0166,0.9127,1.0000,7.4959,160.0000
2.200,0.2676,0.02473,0.01234,-0.0219,0.9009,1.0000,8.2134,160.0000
